Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	ND	NT	a	b	c	d	e	f	non-b	Total
1686		2								2
1687		2								2
1688							2			2
1689		2								2
1690		2								2
1691							2			2
1692		2								2
1693		1								1
1694		1								1
1695		1								1
1696		1								1
1697		1								1
1698		1								1
1699		1								1
1700		1								1
1701					2					2
1702				1						1
1703				1						1
1704				1						1
1705		1								1
1706		1								1
1707		1								1
1708		2								2
1709		2								2
1710		2								2
1711		2								2
1712		2								2
1713		2								2
1714		5								5
1715		2								2
1716		2								2
1717		3								3
1718		2								2
1719		2								2
1720		1								1
1721				2						2
1722				1						1
1723		1								1
1724			1							1
1725		2								2
1726		1								1
1727		1								1
1728		1								1
1729		1								1
1730		1								1
1731		1								1
1732		1								1
1733		1								1
1734		1								1
1735		1								1
1736		2								2
1737		1								1
1738		1								1
1739								2		2
1740								2		2
1741		1								1
1742		1								1
1743		1								1
1744			1							1
1745		1								1
1746		1								1
1747		1								1
1748		1								1
1749		1								1
1750		1								1
1751		2								2
1752		2								2
1753							4			4
1754		2								2
1755			2							2
1756				2						2
1757								2		2
1758							2			2
1759		2								2
1760			2							2
1761		2								2
1762		1								1
1763		1								1
1764		1								1
1765		1								1
1766		1								1
1767			1							1
1768		1								1
1769		1								1
1770						1				1
1771	1									1
1772	1									1
1773	1	1								2
1774		1								1
1775		1								1
1776		1								1
1777		1								1
1778		1								1
1779		1								1
1780		3								3
1781		1								1
1782		1								1
1783		2								2
1784		2								2
1785			3							3
1786			1							1
1787		1								1
1788		1								1
1789		1								1
1790		1								1
1791				1						1
1792		1								1
1793								2		2
1794		2								2
1795						1				1
1812		1								1
1813		1								1
1814		2								2
1815		1								1
1816		1								1
1817		2								2
1818		2								2
1819		2								2
1821		1								1
1827		1								1
1828			1							1
1829		3								3
1830		1								1
1831		1								1
1832		1								1
1833		1								1
1834				1						1
1835		1								1
1836		2								2
1837		1								1
1838		1								1
1839		1								1
1840		1								1
1841		1								1
1842		1								1
1844		1								1
1845		1								1
1846		1								1
1847		1								1
1848		1								1
1849		1								1
1850		2								2
1851		1								1
1852		1								1
1853		2								2
1854		4								4
1855		1								1
1856		1								1
1857		1								1
1858		1								1
1859		1								1
1860		4								4
1861		1								1
1862		1								1
1863								1		1
1864								1		1
1865								1		1
1866					1					1
1867					1					1
1868				1						1
1869								1		1
1870					1					1
1871								1		1
1872		1								1
1873		1								1
1874		1								1
1875		1								1
1876		1								1
1877		6								6
1878		1								1
1879		1								1
1880		1								1
1881		1								1
1882		1								1
1883		1								1
1884		1								1
1885		1								1
1886								7		7
1887								1		1
1888								1		1
1889		1								1
1890		1								1
1891		1								1
1892		1								1
1893		1								1
1894		2								2
1895		1								1
1896		1								1
1897		1								1
1898		1								1
1899		2								2
1900		1								1
1901		1								1
1902		1								1
1903		1								1
1904		3								3
1905		1								1
1906		2								2
1907		3								3
1908		2								2
1909		2								2
1910		2								2
1911		1								1
1912		1								1
1913		1								1
1914		1								1
1915		1								1
1916		1								1
1917		1								1
1918		1								1
1919		1								1
1920		1								1
1921		1								1
1922		1								1
1923		1								1
1924		1								1
1925		1								1
1926		1								1
1927		1								1
1928		1								1
1929		1								1
1930		1								1
1931		1								1
1932		1								1
1933		1								1
1934		1								1
1935		1								1
1936		1								1
1937		1								1
1938		1								1
1939		1								1
1940		1								1
1941							1			1
1942		1								1
1943		1								1
1944		1								1
1945		1								1
1946		1								1
1947		1								1
1948		1								1
1949		1								1
1950		1								1
1951		1								1
1952		1								1
1953		1								1
1954		1								1
1955		1								1
1956		1								1
1957		1								1
1958								1		1
1959		1								1
1960		1								1
1961		1								1
1962		1								1
1963		1								1
1964		1								1
1965		1								1
1966		1								1
1967		1								1
1968		1								1
1969		1								1
1970		1								1
1971		1								1
1972		1								1
1973		1								1
1974		1								1
1975		1								1
1976		1								1
1977		1								1
1978		1								1
1979		1								1
1980		1								1
1981		1								1
1982		1								1
1983		1								1
1984		1								1
1985		1								1
1986		1								1
1987		1								1
1988		1								1
1989		1								1
1990		1								1
1991		1								1
1992		1								1
1993		1								1
1994		1								1
1995		1								1
1996		1								1
1997		1								1
1998		1								1
1999		1								1
2000		1								1
2001		1								1
2002		1								1
2003		1								1
2004		1								1
2005		1								1
2006		1								1
2007		1								1
2008		1								1
2009		1								1
2010		1								1
2011		1								1
2012		1								1
2013		1								1
2014		1								1
2015		1								1
2016		2								2
2017		1								1
2018		1								1
2019		1								1
2020		1								1
2021		1								1
2022		1								1
2023		1								1
2024		1								1
2025		1								1
2026		1								1
2027		1								1
2028			1							1
2029		1								1
2030		1								1
2031		7								7
2032		1								1
2033							1			1
2034		1								1
2035		1								1
2036		1								1
2037		1								1
2038		2								2
2039		1								1
2040		1								1
2041		1								1
2042		1								1
2043		1								1
2044		1								1
2045		1								1
2046		1								1
2047		1								1
2048		1								1
2049		1								1
2050		1								1
2051		1								1
2052		1								1
2053			9							9
2054		1								1
2055		1								1
2056		1								1
2057			1							1
2058								1		1
2059		1								1
2060			1							1
2061		1								1
2062		1								1
2063			1							1
2064			1							1
2065				1						1
2066		1								1
2067		1								1
2068		1								1
2069		1								1
2070		1								1
2071		1								1
2072		1								1
2073		1								1
2074		1								1
2075							1			1
2076		1								1
2077							1			1
2078		1								1
2079		1								1
2080		1								1
2081			1							1
2082		1								1
2083		1								1
2084		1								1
2085		1								1
2086		2								2
2087			1							1
2088								1		1
2089		1								1
2090		1								1
2091								1		1
2092		1								1
2093		1								1
2094		1								1
2095		1								1
2096		1								1
2097		3								3
2098		1								1
2099		1								1
2100		1								1
2101		1								1
2102		1								1
2103		1								1
2104		1								1
2105		1								1
2106		1								1
2107		1								1
2108		1								1
2109		1								1
2110		3								3
2111		3								3
